timestamp,src_ip,event_type,user,port,status,raw_line
2026-07-20 10:54:49,192.168.1.50,ssh_success,alice,57067,,Jul 20 10:54:49 server sshd[10012]: Accepted password for alice from 192.168.1.50 port 57067 ssh2
2026-07-20 10:55:02,172.16.0.4,ssh_success,alice,54942,,Jul 20 10:55:02 server sshd[25270]: Accepted password for alice from 172.16.0.4 port 54942 ssh2
2026-07-20 10:55:12,10.0.0.16,ssh_success,dev_user,33809,,Jul 20 10:55:12 server sshd[1976]: Accepted password for dev_user from 10.0.0.16 port 33809 ssh2
2026-07-20 10:55:31,10.0.0.16,ssh_success,sysadmin,33637,,Jul 20 10:55:31 server sshd[19390]: Accepted password for sysadmin from 10.0.0.16 port 33637 ssh2
2026-07-20 10:56:17,172.16.0.4,ssh_success,sysadmin,46514,,Jul 20 10:56:17 server sshd[8223]: Accepted password for sysadmin from 172.16.0.4 port 46514 ssh2
2026-07-20 10:56:39,172.16.0.5,ssh_success,emily,32980,,Jul 20 10:56:39 server sshd[25864]: Accepted password for emily from 172.16.0.5 port 32980 ssh2
2026-07-20 10:57:28,10.0.0.15,ssh_success,charlie,41873,,Jul 20 10:57:28 server sshd[6094]: Accepted password for charlie from 10.0.0.15 port 41873 ssh2
2026-07-20 10:58:21,192.168.1.102,ssh_success,alice,35807,,Jul 20 10:58:21 server sshd[13449]: Accepted password for alice from 192.168.1.102 port 35807 ssh2
2026-07-20 10:59:20,192.168.1.102,ssh_success,sysadmin,41435,,Jul 20 10:59:20 server sshd[27447]: Accepted password for sysadmin from 192.168.1.102 port 41435 ssh2
2026-07-20 10:59:54,10.0.0.16,ssh_success,alice,45171,,Jul 20 10:59:54 server sshd[3582]: Accepted password for alice from 10.0.0.16 port 45171 ssh2
2026-07-20 11:00:52,172.16.0.4,ssh_success,sysadmin,44618,,Jul 20 11:00:52 server sshd[19918]: Accepted password for sysadmin from 172.16.0.4 port 44618 ssh2
2026-07-20 11:01:01,192.168.1.50,ssh_success,john,40235,,Jul 20 11:01:01 server sshd[26331]: Accepted password for john from 192.168.1.50 port 40235 ssh2
2026-07-20 11:01:11,172.16.0.5,ssh_success,bob,36077,,Jul 20 11:01:11 server sshd[13455]: Accepted password for bob from 172.16.0.5 port 36077 ssh2
2026-07-20 11:01:56,172.16.0.5,ssh_success,charlie,38097,,Jul 20 11:01:56 server sshd[13130]: Accepted password for charlie from 172.16.0.5 port 38097 ssh2
2026-07-20 11:02:43,192.168.1.102,ssh_success,john,55166,,Jul 20 11:02:43 server sshd[22234]: Accepted password for john from 192.168.1.102 port 55166 ssh2
2026-07-20 11:03:28,192.168.1.51,ssh_success,sysadmin,56660,,Jul 20 11:03:28 server sshd[9021]: Accepted password for sysadmin from 192.168.1.51 port 56660 ssh2
2026-07-20 11:03:57,192.168.1.102,ssh_success,john,55317,,Jul 20 11:03:57 server sshd[19250]: Accepted password for john from 192.168.1.102 port 55317 ssh2
2026-07-20 11:04:22,172.16.0.5,ssh_success,emily,58195,,Jul 20 11:04:22 server sshd[2832]: Accepted password for emily from 172.16.0.5 port 58195 ssh2
2026-07-20 11:04:29,172.16.0.5,ssh_success,charlie,45913,,Jul 20 11:04:29 server sshd[9773]: Accepted password for charlie from 172.16.0.5 port 45913 ssh2
2026-07-20 11:05:10,172.16.0.4,ssh_success,charlie,39735,,Jul 20 11:05:10 server sshd[22477]: Accepted password for charlie from 172.16.0.4 port 39735 ssh2
2026-07-20 11:05:56,10.0.0.15,ssh_success,bob,41447,,Jul 20 11:05:56 server sshd[5575]: Accepted password for bob from 10.0.0.15 port 41447 ssh2
2026-07-20 11:06:36,10.0.0.16,ssh_success,charlie,57246,,Jul 20 11:06:36 server sshd[20155]: Accepted password for charlie from 10.0.0.16 port 57246 ssh2
2026-07-20 11:07:18,10.0.0.15,ssh_success,charlie,39954,,Jul 20 11:07:18 server sshd[5532]: Accepted password for charlie from 10.0.0.15 port 39954 ssh2
2026-07-20 11:07:28,172.16.0.5,ssh_success,alice,60984,,Jul 20 11:07:28 server sshd[4592]: Accepted password for alice from 172.16.0.5 port 60984 ssh2
2026-07-20 11:07:43,172.16.0.5,ssh_success,john,46601,,Jul 20 11:07:43 server sshd[20543]: Accepted password for john from 172.16.0.5 port 46601 ssh2
2026-07-20 11:08:12,10.0.0.16,ssh_failed,dev_user,50106,,Jul 20 11:08:12 server sshd[9238]: Failed password for dev_user from 10.0.0.16 port 50106 ssh2
2026-07-20 11:08:17,172.16.0.4,ssh_success,john,36521,,Jul 20 11:08:17 server sshd[23338]: Accepted password for john from 172.16.0.4 port 36521 ssh2
2026-07-20 11:09:10,192.168.1.102,ssh_success,emily,53771,,Jul 20 11:09:10 server sshd[12146]: Accepted password for emily from 192.168.1.102 port 53771 ssh2
2026-07-20 11:09:42,192.168.1.51,ssh_success,dev_user,32874,,Jul 20 11:09:42 server sshd[24661]: Accepted password for dev_user from 192.168.1.51 port 32874 ssh2
2026-07-20 11:10:03,10.0.0.16,ssh_success,emily,38622,,Jul 20 11:10:03 server sshd[17635]: Accepted password for emily from 10.0.0.16 port 38622 ssh2
2026-07-20 11:11:03,172.16.0.4,ssh_success,charlie,60347,,Jul 20 11:11:03 server sshd[21937]: Accepted password for charlie from 172.16.0.4 port 60347 ssh2
2026-07-20 11:11:20,192.168.1.51,ssh_success,charlie,57753,,Jul 20 11:11:20 server sshd[6293]: Accepted password for charlie from 192.168.1.51 port 57753 ssh2
2026-07-20 11:12:14,10.0.0.16,ssh_success,alice,52394,,Jul 20 11:12:14 server sshd[11621]: Accepted password for alice from 10.0.0.16 port 52394 ssh2
2026-07-20 11:12:26,192.168.1.102,ssh_success,emily,59204,,Jul 20 11:12:26 server sshd[11076]: Accepted password for emily from 192.168.1.102 port 59204 ssh2
2026-07-20 11:12:46,10.0.0.16,ssh_success,alice,35574,,Jul 20 11:12:46 server sshd[24983]: Accepted password for alice from 10.0.0.16 port 35574 ssh2
2026-07-20 11:12:55,172.16.0.5,ssh_success,sysadmin,57862,,Jul 20 11:12:55 server sshd[5120]: Accepted password for sysadmin from 172.16.0.5 port 57862 ssh2
2026-07-20 11:13:30,10.0.0.16,ssh_success,bob,41453,,Jul 20 11:13:30 server sshd[18290]: Accepted password for bob from 10.0.0.16 port 41453 ssh2
2026-07-20 11:14:02,192.168.1.51,ssh_success,sysadmin,57516,,Jul 20 11:14:02 server sshd[24918]: Accepted password for sysadmin from 192.168.1.51 port 57516 ssh2
2026-07-20 11:14:52,192.168.1.102,ssh_success,dev_user,54777,,Jul 20 11:14:52 server sshd[22295]: Accepted password for dev_user from 192.168.1.102 port 54777 ssh2
2026-07-20 11:15:30,10.0.0.15,ssh_success,alice,40891,,Jul 20 11:15:30 server sshd[8362]: Accepted password for alice from 10.0.0.15 port 40891 ssh2
2026-07-20 11:15:36,10.0.0.16,ssh_success,sysadmin,40308,,Jul 20 11:15:36 server sshd[20282]: Accepted password for sysadmin from 10.0.0.16 port 40308 ssh2
2026-07-20 11:15:45,172.16.0.4,ssh_success,john,34697,,Jul 20 11:15:45 server sshd[8501]: Accepted password for john from 172.16.0.4 port 34697 ssh2
2026-07-20 11:15:52,172.16.0.5,ssh_success,charlie,35089,,Jul 20 11:15:52 server sshd[17847]: Accepted password for charlie from 172.16.0.5 port 35089 ssh2
2026-07-20 11:16:39,10.0.0.15,ssh_success,bob,50437,,Jul 20 11:16:39 server sshd[5335]: Accepted password for bob from 10.0.0.15 port 50437 ssh2
2026-07-20 11:17:20,10.0.0.16,ssh_success,dev_user,40730,,Jul 20 11:17:20 server sshd[26710]: Accepted password for dev_user from 10.0.0.16 port 40730 ssh2
2026-07-20 11:17:51,192.168.1.51,ssh_success,alice,35944,,Jul 20 11:17:51 server sshd[22593]: Accepted password for alice from 192.168.1.51 port 35944 ssh2
2026-07-20 11:18:23,10.0.0.15,ssh_success,dev_user,56658,,Jul 20 11:18:23 server sshd[2775]: Accepted password for dev_user from 10.0.0.15 port 56658 ssh2
2026-07-20 11:19:09,192.168.1.50,ssh_success,alice,45961,,Jul 20 11:19:09 server sshd[24862]: Accepted password for alice from 192.168.1.50 port 45961 ssh2
